date,uClose,uOpen,uHigh,uLow,uVolume,close,open,high,low,volume,change,changePercent,label,changeOverTime
2017-11-28,173.07,174.3,174.87,171.86,26428802,173.07,174.3,174.87,171.86,26428802,-1.02,-0.5859,"Nov 28, 17",0.936432
2017-11-29,169.48,172.63,172.92,167.16,41666364,169.48,172.63,172.92,167.16,41666364,-3.59,-2.0743,"Nov 29, 17",0.896265
2017-11-30,171.85,170.43,172.14,168.44,41527218,171.85,170.43,172.14,168.44,41527218,2.37,1.3984,"Nov 30, 17",0.922782
2017-12-01,171.05,169.95,171.67,168.5,39759288,171.05,169.95,171.67,168.5,39759288,-0.8,-0.4655,"Dec 1, 17",0.913831
2017-12-04,169.8,172.48,172.62,169.63,32542385,169.8,172.48,172.62,169.63,32542385,-1.25,-0.7308,"Dec 4, 17",0.899845
2017-12-05,169.64,169.06,171.52,168.4,27350154,169.64,169.06,171.52,168.4,27350154,-0.16,-0.0942,"Dec 5, 17",0.898055
2017-12-06,169.01,167.5,170.2,166.46,28560000,169.01,167.5,170.2,166.46,28560000,-0.63,-0.3714,"Dec 6, 17",0.891006
2017-12-07,169.32,169.03,170.44,168.91,25673308,169.32,169.03,170.44,168.91,25673308,0.31,0.1834,"Dec 7, 17",0.894475
2017-12-08,169.37,170.49,171,168.82,23355231,169.37,170.49,171,168.82,23355231,0.05,0.0295,"Dec 8, 17",0.895034
2017-12-11,172.67,169.2,172.89,168.79,35273759,172.67,169.2,172.89,168.79,35273759,3.3,1.9484,"Dec 11, 17",0.931957
2017-12-12,171.7,172.15,172.39,171.46,19409230,171.7,172.15,172.39,171.46,19409230,-0.97,-0.5618,"Dec 12, 17",0.921104
2017-12-13,172.27,172.5,173.54,172,23818447,172.27,172.5,173.54,172,23818447,0.57,0.332,"Dec 13, 17",0.927481
2017-12-14,172.22,172.4,173.13,171.65,20476541,172.22,172.4,173.13,171.65,20476541,-0.05,-0.029,"Dec 14, 17",0.926922
2017-12-15,173.97,173.63,174.17,172.46,40169307,173.97,173.63,174.17,172.46,40169307,1.75,1.0161,"Dec 15, 17",0.946502
2017-12-18,176.42,174.88,177.2,174.86,29421114,176.42,174.88,177.2,174.86,29421114,2.45,1.4083,"Dec 18, 17",0.973915
2017-12-19,174.54,175.03,175.39,174.09,27436447,174.54,175.03,175.39,174.09,27436447,-1.88,-1.0656,"Dec 19, 17",0.95288
2017-12-20,174.35,174.87,175.42,173.25,23475649,174.35,174.87,175.42,173.25,23475649,-0.19,-0.1089,"Dec 20, 17",0.950754
2017-12-21,175.01,174.17,176.02,174.1,20949896,175.01,174.17,176.02,174.1,20949896,0.66,0.3785,"Dec 21, 17",0.958139
2017-12-22,175.01,174.68,175.42,174.5,16349444,175.01,174.68,175.42,174.5,16349444,0,0,"Dec 22, 17",0.958139
2017-12-26,170.57,170.8,171.47,169.68,33185536,170.57,170.8,171.47,169.68,33185536,-4.44,-2.537,"Dec 26, 17",0.908461
2017-12-27,170.6,170.1,170.78,169.71,21498213,170.6,170.1,170.78,169.71,21498213,0.03,0.0176,"Dec 27, 17",0.908796
2017-12-28,171.08,171,171.85,170.48,16480187,171.08,171,171.85,170.48,16480187,0.48,0.2814,"Dec 28, 17",0.914167
2017-12-29,169.23,170.52,170.59,169.22,25999922,169.23,170.52,170.59,169.22,25999922,-1.85,-1.0814,"Dec 29, 17",0.893468
2018-01-02,172.26,170.16,172.3,169.26,25555934,172.26,170.16,172.3,169.26,25555934,3.03,1.7905,"Jan 2, 18",0.92737
2018-01-03,172.23,172.53,174.55,171.96,29517899,172.23,172.53,174.55,171.96,29517899,-0.03,-0.0174,"Jan 3, 18",0.927034
2018-01-04,173.03,172.54,173.47,172.08,22434597,173.03,172.54,173.47,172.08,22434597,0.8,0.4645,"Jan 4, 18",0.935985
2018-01-05,175,173.44,175.37,173.05,23660018,175,173.44,175.37,173.05,23660018,1.97,1.1385,"Jan 5, 18",0.958027
2018-01-08,174.35,174.35,175.61,173.93,20567766,174.35,174.35,175.61,173.93,20567766,-0.65,-0.3714,"Jan 8, 18",0.950754
2018-01-09,174.33,174.55,175.06,173.41,21583997,174.33,174.55,175.06,173.41,21583997,-0.02,-0.0115,"Jan 9, 18",0.95053
2018-01-10,174.29,173.16,174.3,173,23959895,174.29,173.16,174.3,173,23959895,-0.04,-0.0229,"Jan 10, 18",0.950083
2018-01-11,175.28,174.59,175.49,174.49,18667729,175.28,174.59,175.49,174.49,18667729,0.99,0.568,"Jan 11, 18",0.961159
2018-01-12,177.09,176.18,177.36,175.65,25418080,177.09,176.18,177.36,175.65,25418080,1.81,1.0326,"Jan 12, 18",0.981411
2018-01-16,176.19,177.9,179.39,176.14,29565947,176.19,177.9,179.39,176.14,29565947,-0.9,-0.5082,"Jan 16, 18",0.971341
2018-01-17,179.1,176.15,179.25,175.07,34386836,179.1,176.15,179.25,175.07,34386836,2.91,1.6516,"Jan 17, 18",1.0039
2018-01-18,179.26,179.37,180.1,178.25,31193352,179.26,179.37,180.1,178.25,31193352,0.16,0.0893,"Jan 18, 18",1.005691
2018-01-19,178.46,178.61,179.58,177.41,32425067,178.46,178.61,179.58,177.41,32425067,-0.8,-0.4463,"Jan 19, 18",0.99674
2018-01-22,177,177.3,177.78,176.6,27108551,177,177.3,177.78,176.6,27108551,-1.46,-0.8181,"Jan 22, 18",0.980404
2018-01-23,177.04,177.3,179.44,176.82,32689146,177.04,177.3,179.44,176.82,32689146,0.04,0.0226,"Jan 23, 18",0.980852
2018-01-24,174.22,177.25,177.3,173.2,51105090,174.22,177.25,177.3,173.2,51105090,-2.82,-1.5929,"Jan 24, 18",0.949299
2018-01-25,171.11,174.51,174.95,170.53,41529004,171.11,174.51,174.95,170.53,41529004,-3.11,-1.7851,"Jan 25, 18",0.914502
2018-01-26,171.51,172,172,170.06,39143011,171.51,172,172,170.06,39143011,0.4,0.2338,"Jan 26, 18",0.918978
2018-01-29,167.96,170.16,170.16,167.07,50640406,167.96,170.16,170.16,167.07,50640406,-3.55,-2.0699,"Jan 29, 18",0.879258
2018-01-30,166.97,165.53,167.37,164.7,46048185,166.97,165.53,167.37,164.7,46048185,-0.99,-0.5894,"Jan 30, 18",0.868181
2018-01-31,167.43,166.87,168.44,166.5,32478930,167.43,166.87,168.44,166.5,32478930,0.46,0.2755,"Jan 31, 18",0.873328
2018-02-01,167.78,167.17,168.62,166.76,47230787,167.78,167.17,168.62,166.76,47230787,0.35,0.209,"Feb 1, 18",0.877244
2018-02-02,160.5,166,166.8,160.1,86593825,160.5,166,166.8,160.1,86593825,-7.28,-4.339,"Feb 2, 18",0.79579
2018-02-05,156.49,159.1,163.88,156,72738522,156.49,159.1,163.88,156,72738522,-4.01,-2.4984,"Feb 5, 18",0.750923
2018-02-06,163.03,154.83,163.72,154,68243838,163.03,154.83,163.72,154,68243838,6.54,4.1792,"Feb 6, 18",0.824098
2018-02-07,159.54,163.09,163.4,159.07,51608580,159.54,163.09,163.4,159.07,51608580,-3.49,-2.1407,"Feb 7, 18",0.785049
2018-02-08,155.15,160.29,161,155.03,54390516,155.15,160.29,161,155.03,54390516,-4.39,-2.7517,"Feb 8, 18",0.73593
2018-02-09,156.41,157.07,157.89,150.24,70672608,156.41,157.07,157.89,150.24,70672608,1.26,0.8121,"Feb 9, 18",0.750028
2018-02-12,162.71,158.5,163.89,157.51,60819539,162.71,158.5,163.89,157.51,60819539,6.3,4.0279,"Feb 12, 18",0.820517
2018-02-13,164.34,161.95,164.75,161.65,32549163,164.34,161.95,164.75,161.65,32549163,1.63,1.0018,"Feb 13, 18",0.838755
2018-02-14,167.37,163.04,167.54,162.88,40644933,167.37,163.04,167.54,162.88,40644933,3.03,1.8437,"Feb 14, 18",0.872657
2018-02-15,172.99,169.79,173.09,169,51147171,172.99,169.79,173.09,169,51147171,5.62,3.3578,"Feb 15, 18",0.935537
2018-02-16,172.43,172.36,174.82,171.77,40176091,172.43,172.36,174.82,171.77,40176091,-0.56,-0.3237,"Feb 16, 18",0.929272
2018-02-20,171.85,172.05,174.26,171.42,33930540,171.85,172.05,174.26,171.42,33930540,-0.58,-0.3364,"Feb 20, 18",0.922782
2018-02-21,171.07,172.83,174.12,171.01,37471623,171.07,172.83,174.12,171.01,37471623,-0.78,-0.4539,"Feb 21, 18",0.914055
2018-02-22,172.5,171.8,173.95,171.71,30991940,172.5,171.8,173.95,171.71,30991940,1.43,0.8359,"Feb 22, 18",0.930055
2018-02-23,175.5,173.67,175.65,173.54,33812360,175.5,173.67,175.65,173.54,33812360,3,1.7391,"Feb 23, 18",0.963621
2018-02-26,178.97,176.35,179.39,176.21,38162174,178.97,176.35,179.39,176.21,38162174,3.47,1.9772,"Feb 26, 18",1.002446
2018-02-27,178.39,179.1,180.48,178.16,38928125,178.39,179.1,180.48,178.16,38928125,-0.58,-0.3241,"Feb 27, 18",0.995956
2018-02-28,178.12,179.26,180.62,178.05,37782138,178.12,179.26,180.62,178.05,37782138,-0.27,-0.1514,"Feb 28, 18",0.992935
2018-03-01,175,178.54,179.78,172.66,48801970,175,178.54,179.78,172.66,48801970,-3.12,-1.7516,"Mar 1, 18",0.958027
2018-03-02,176.21,172.8,176.3,172.45,38453950,176.21,172.8,176.3,172.45,38453950,1.21,0.6914,"Mar 2, 18",0.971565
2018-03-05,176.82,175.21,177.74,174.52,28401366,176.82,175.21,177.74,174.52,28401366,0.61,0.3462,"Mar 5, 18",0.97839
2018-03-06,176.67,177.91,178.25,176.13,23788506,176.67,177.91,178.25,176.13,23788506,-0.15,-0.0848,"Mar 6, 18",0.976712
2018-03-07,175.03,174.94,175.85,174.27,31703462,175.03,174.94,175.85,174.27,31703462,-1.64,-0.9283,"Mar 7, 18",0.958362
2018-03-08,176.94,175.48,177.12,175.07,23774107,176.94,175.48,177.12,175.07,23774107,1.91,1.0912,"Mar 8, 18",0.979733
2018-03-09,179.98,177.96,180,177.39,32185162,179.98,177.96,180,177.39,32185162,3.04,1.7181,"Mar 9, 18",1.013746
2018-03-12,181.72,180.29,182.39,180.21,32207081,181.72,180.29,182.39,180.21,32207081,1.74,0.9668,"Mar 12, 18",1.033215
2018-03-13,179.97,182.59,183.5,179.24,31693529,179.97,182.59,183.5,179.24,31693529,-1.75,-0.963,"Mar 13, 18",1.013635
2018-03-14,178.44,180.32,180.52,177.81,29368356,178.44,180.32,180.52,177.81,29368356,-1.53,-0.8501,"Mar 14, 18",0.996516
2018-03-15,178.65,178.5,180.24,178.07,22743798,178.65,178.5,180.24,178.07,22743798,0.21,0.1177,"Mar 15, 18",0.998865
2018-03-16,178.02,178.65,179.12,177.62,39404688,178.02,178.65,179.12,177.62,39404688,-0.63,-0.3526,"Mar 16, 18",0.991817
2018-03-19,175.3,177.32,177.47,173.66,33446771,175.3,177.32,177.47,173.66,33446771,-2.72,-1.5279,"Mar 19, 18",0.961383
2018-03-20,175.24,175.24,176.8,174.94,19649350,175.24,175.24,176.8,174.94,19649350,-0.06,-0.0342,"Mar 20, 18",0.960712
2018-03-21,171.27,175.04,175.09,171.26,37054935,171.27,175.04,175.09,171.26,37054935,-3.97,-2.2655,"Mar 21, 18",0.916293
2018-03-22,168.85,170,172.68,168.6,41490767,168.85,170,172.68,168.6,41490767,-2.42,-1.413,"Mar 22, 18",0.889216
2018-03-23,164.94,168.39,169.92,164.94,41028784,164.94,168.39,169.92,164.94,41028784,-3.91,-2.3157,"Mar 23, 18",0.845468
2018-03-26,172.77,168.07,173.1,166.44,37541236,172.77,168.07,173.1,166.44,37541236,7.83,4.7472,"Mar 26, 18",0.933076
2018-03-27,168.34,173.68,175.15,166.92,40922579,168.34,173.68,175.15,166.92,40922579,-4.43,-2.5641,"Mar 27, 18",0.88351
2018-03-28,166.48,167.25,170.02,165.19,41668545,166.48,167.25,170.02,165.19,41668545,-1.86,-1.1049,"Mar 28, 18",0.862699
2018-03-29,167.78,167.81,171.75,166.9,38398505,167.78,167.81,171.75,166.9,38398505,1.3,0.7809,"Mar 29, 18",0.877244
2018-04-02,166.68,167.88,168.94,164.47,37586791,166.68,167.88,168.94,164.47,37586791,-1.1,-0.6556,"Apr 2, 18",0.864936
2018-04-03,168.39,167.64,168.75,164.88,30278046,168.39,167.64,168.75,164.88,30278046,1.71,1.0259,"Apr 3, 18",0.884069
2018-04-04,171.61,164.88,172.01,164.77,34605489,171.61,164.88,172.01,164.77,34605489,3.22,1.9122,"Apr 4, 18",0.920097
2018-04-05,172.8,172.58,174.23,172.08,26933197,172.8,172.58,174.23,172.08,26933197,1.19,0.6934,"Apr 5, 18",0.933411
2018-04-06,168.38,170.97,172.48,168.2,35005290,168.38,170.97,172.48,168.2,35005290,-4.42,-2.5579,"Apr 6, 18",0.883957
2018-04-09,170.05,169.88,173.09,169.85,29017718,170.05,169.88,173.09,169.85,29017718,1.67,0.9918,"Apr 9, 18",0.902642
2018-04-10,173.25,173,174,171.53,28614241,173.25,173,174,171.53,28614241,3.2,1.8818,"Apr 10, 18",0.938446
2018-04-11,172.44,172.23,173.92,171.7,22431640,172.44,172.23,173.92,171.7,22431640,-0.81,-0.4675,"Apr 11, 18",0.929383
2018-04-12,174.14,173.41,175,173.04,22889285,174.14,173.41,175,173.04,22889285,1.7,0.9859,"Apr 12, 18",0.948404
2018-04-13,174.73,174.78,175.84,173.85,25124255,174.73,174.78,175.84,173.85,25124255,0.59,0.3388,"Apr 13, 18",0.955006
2018-04-16,175.82,175.03,176.19,174.83,21578420,175.82,175.03,176.19,174.83,21578420,1.09,0.6238,"Apr 16, 18",0.967201
2018-04-17,178.24,176.49,178.94,176.41,26605442,178.24,176.49,178.94,176.41,26605442,2.42,1.3764,"Apr 17, 18",0.994278
2018-04-18,177.84,177.81,178.82,176.88,20754538,177.84,177.81,178.82,176.88,20754538,-0.4,-0.2244,"Apr 18, 18",0.989803
2018-04-19,172.8,174.95,175.39,172.66,34808800,172.8,174.95,175.39,172.66,34808800,-5.04,-2.834,"Apr 19, 18",0.933411
2018-04-20,165.72,170.6,171.22,165.43,65491140,165.72,170.6,171.22,165.43,65491140,-7.08,-4.0972,"Apr 20, 18",0.854195
2018-04-23,165.24,166.83,166.92,164.09,36515477,165.24,166.83,166.92,164.09,36515477,-0.48,-0.2896,"Apr 23, 18",0.848825
2018-04-24,162.94,165.67,166.33,161.22,33692017,162.94,165.67,166.33,161.22,33692017,-2.3,-1.3919,"Apr 24, 18",0.823091
2018-04-25,163.65,162.62,165.42,162.41,28382084,163.65,162.62,165.42,162.41,28382084,0.71,0.4357,"Apr 25, 18",0.831035
2018-04-26,164.22,164.12,165.73,163.37,27963014,164.22,164.12,165.73,163.37,27963014,0.57,0.3483,"Apr 26, 18",0.837412
2018-04-27,162.32,164,164.33,160.63,35655839,162.32,164,164.33,160.63,35655839,-1.9,-1.157,"Apr 27, 18",0.816154
2018-04-30,165.26,162.13,167.26,161.84,42427424,165.26,162.13,167.26,161.84,42427424,2.94,1.8112,"Apr 30, 18",0.849048
2018-05-01,169.1,166.41,169.2,165.27,53569376,169.1,166.41,169.2,165.27,53569376,3.84,2.3236,"May 1, 18",0.892013
2018-05-02,176.57,175.23,177.75,173.8,66539371,176.57,175.23,177.75,173.8,66539371,7.47,4.4175,"May 2, 18",0.975593
2018-05-03,176.89,175.88,177.5,174.44,34068180,176.89,175.88,177.5,174.44,34068180,0.32,0.1812,"May 3, 18",0.979173
2018-05-04,183.83,178.25,184.25,178.17,56201317,183.83,178.25,184.25,178.17,56201317,6.94,3.9233,"May 4, 18",1.056823
2018-05-07,185.16,185.18,187.67,184.75,42451423,185.16,185.18,187.67,184.75,42451423,1.33,0.7235,"May 7, 18",1.071704
2018-05-08,186.05,184.99,186.22,183.67,28402777,186.05,184.99,186.22,183.67,28402777,0.89,0.4807,"May 8, 18",1.081662
2018-05-09,187.36,186.55,187.4,185.22,23211241,187.36,186.55,187.4,185.22,23211241,1.31,0.7041,"May 9, 18",1.096319
2018-05-10,190.04,187.74,190.37,187.65,27989289,190.04,187.74,190.37,187.65,27989289,2.68,1.4304,"May 10, 18",1.126305
2018-05-11,188.59,189.49,190.06,187.45,26212221,188.59,189.49,190.06,187.45,26212221,-1.45,-0.763,"May 11, 18",1.110081
2018-05-14,188.15,189.01,189.53,187.86,20778772,188.15,189.01,189.53,187.86,20778772,-0.44,-0.2333,"May 14, 18",1.105158
2018-05-15,186.44,186.78,187.07,185.1,23695159,186.44,186.78,187.07,185.1,23695159,-1.71,-0.9088,"May 15, 18",1.086026
2018-05-16,188.18,186.07,188.46,186,19183064,188.18,186.07,188.46,186,19183064,1.74,0.9333,"May 16, 18",1.105494
2018-05-17,186.99,188,188.91,186.36,17294029,186.99,188,188.91,186.36,17294029,-1.19,-0.6324,"May 17, 18",1.092179
2018-05-18,186.31,187.19,187.81,186.13,18297728,186.31,187.19,187.81,186.13,18297728,-0.68,-0.3637,"May 18, 18",1.084571
2018-05-21,187.63,188,189.27,186.91,18400787,187.63,188,189.27,186.91,18400787,1.32,0.7085,"May 21, 18",1.09934
2018-05-22,187.16,188.38,188.88,186.78,15240704,187.16,188.38,188.88,186.78,15240704,-0.47,-0.2505,"May 22, 18",1.094082
2018-05-23,188.36,186.35,188.5,185.76,20058415,188.36,186.35,188.5,185.76,20058415,1.2,0.6412,"May 23, 18",1.107508
2018-05-24,188.15,188.77,188.84,186.21,23233975,188.15,188.77,188.84,186.21,23233975,-0.21,-0.1115,"May 24, 18",1.105158
2018-05-25,188.58,188.23,189.65,187.65,17460963,188.58,188.23,189.65,187.65,17460963,0.43,0.2285,"May 25, 18",1.109969
2018-05-29,187.9,187.6,188.75,186.87,22514075,187.9,187.6,188.75,186.87,22514075,-0.68,-0.3606,"May 29, 18",1.102361
2018-05-30,187.5,187.72,188,186.78,18690547,187.5,187.72,188,186.78,18690547,-0.4,-0.2129,"May 30, 18",1.097886
2018-05-31,186.87,187.22,188.23,186.14,27482793,186.87,187.22,188.23,186.14,27482793,-0.63,-0.336,"May 31, 18",1.090837
2018-06-01,190.24,187.99,190.26,187.75,23442510,190.24,187.99,190.26,187.75,23442510,3.37,1.8034,"Jun 1, 18",1.128543
2018-06-04,191.83,191.64,193.42,191.35,26266174,191.83,191.64,193.42,191.35,26266174,1.59,0.8358,"Jun 4, 18",1.146333
2018-06-05,193.31,193.07,193.94,192.36,21565963,193.31,193.07,193.94,192.36,21565963,1.48,0.7715,"Jun 5, 18",1.162892
